Batch	Day	Size (µm2)	radius	Volume
Batch 21	Day22	2037711.6	805.371807	2188153965
Batch 21	Day22	1905227.44	778.7507493	1978263062
Batch 21	Day22	1770114.81	750.6297647	1771601151
Batch 21	Day22	1803995.92	757.7794771	1822708113
Batch16	Day22	2015378.28	800.9462098	2152279459
Batch16	Day22	2344446.45	863.8636945	2700376229
Batch16	Day22	2548101.08	900.6030006	3059769971
Batch16	Day22	1731887.95	742.4803406	1714523673
Batch16	Day22	2060307.76	809.8248753	2224651300
Batch16	Day22	2010620.73	800.0002848	2144662876
Batch16	Day22	2121919.33	821.8442069	2325182812
Batch16	Day22	2036975.62	805.2263519	2186968596
Batch 12	Day25	2636654.57	916.1185601	3220650917
Batch 12	Day25	3183010.43	1006.57026	4271898180
Batch 12	Day25	3261076.28	1018.838957	4430015406
Batch 12	Day25	2322779.01	859.862502	2663027428
Batch 12	Day25	2883065.81	957.9709546	3682524408
Batch 12	Day25	3415157.78	1042.63056	4747663824
Batch 13	Day25	2047831.24	807.3691404	2204474331
Batch 13	Day25	2585513.11	907.190379	3127403491
Batch 13	Day25	2236004.13	843.6481613	2515201031
Batch 13	Day25	2485219.08	889.4210491	2947208215
Batch 13	Day25	2604105.23	910.4462858	3161197246
Batch 13	Day25	2027232.72	803.2983358	2171296894
Batch 17	Day25	5673407.61	1343.838432	10165524247
Batch 17	Day25	2783393.85	941.2660514	3493218852
Batch 17	Day25	3179505.79	1006.015967	4264844790
Batch 17	Day25	3453919.1	1048.530684	4828720209
Batch 17	Day25	2583497.95	906.8367761	3123747936
Batch 17	Day25	3608955.61	1071.805136	5157462878
Batch 17	Day25	2302758.76	856.1488649	2628672398
Batch 17	Day25	3013701.27	979.4339734	3935628546
Batch 17	Day25	3699165.04	1085.117875	5352040144
Batch 17	Day25	3228702.17	1013.769116	4364211392
Batch 18	Day25	2876512.13	956.8815228	3669975076
Batch 18	Day25	2802783.27	944.5388418	3529783552
Batch 18	Day25	2608398.41	911.1964667	3169017887
Batch 18	Day25	2293173.57	854.365155	2612276790
Batch 18	Day25	3023435.4	981.0144637	3954711810
Batch 18	Day25	2568778.46	904.2497328	3097089648
Batch 18	Day25	4169216.12	1151.99944	6403912845
Batch 18	Day25	2997308.31	976.7665366	3903560609
Batch 18	Day25	2445292.47	882.2475661	2876471107
Batch 18	Day25	2411709.25	876.168304	2817417604
Batch 19	Day25	2362232.5	867.1343369	2731163883
Batch 19	Day25	2202236.92	837.253715	2458441390
Batch 19	Day25	2741565.97	934.1667688	3414773098
Batch 19	Day25	2430511.65	879.5771067	2850429873
Batch 19	Day25	2080696.01	813.8219155	2257754683
Batch 19	Day25	2275773.03	851.1175325	2582600434
Batch 19	Day25	2140791.82	825.4908846	2356272178
Batch 19	Day25	2454676.14	883.9387325	2893044421
Batch 19	Day25	2321692.58	859.6613873	2661159286
Batch 20	Day25	2112448.04	820.0079848	2309632347
Batch 20	Day25	2581412.68	906.4707256	3119966700
Batch 20	Day25	2179596.95	832.9389276	2420628195
Batch 20	Day25	3147534.71	1000.945261	4200679935
Batch 20	Day25	2553358.04	901.5315342	3069243721
Batch 20	Day25	2812955.49	946.2513101	3549017090
Batch 20	Day25	2762725.24	937.7647662	3454381852
Batch 20	Day25	3092906.13	992.221043	4091795395
Batch 20	Day25	2775263.08	939.8902463	3477923600
Batch 21	Day25	2816547.74	946.8553166	3555817603
Batch 21	Day25	2107085.95	818.9665982	2300844017
Batch 21	Day25	2555084.08	901.836195	3072356406
Batch 21	Day25	2444512.68	882.1068829	2875095281
Batch 21	Day25	2390926.74	872.3850173	2781078221
Batch 21	Day25	2821340.34	947.6605524	3564897260
Batch 21	Day25	2767254.98	938.5332268	3462880994
Batch 21	Day25	2790464.46	942.4608346	3506537952
Batch 21	Day25	2483440.47	889.1027237	2944044915
Batch 21	Day25	2224167.21	841.4121532	2495255095
Batch 12	Day28	4536633.82	1201.68856	7268827949
Batch 12	Day28	4339480.29	1175.286977	6800179560
Batch 12	Day28	2827736.31	948.7341161	3577026545
Batch 12	Day28	4046606.29	1134.933825	6123507141
Batch 12	Day28	3749421.58	1092.464167	5461478298
Batch 12	Day28	3326280.11	1028.97417	4563541755
Batch 13	Day28	2529544.01	897.3175948	3026405796
Batch 13	Day28	2649113.57	918.2804795	3243505706
Batch 13	Day28	2525548.72	896.6086803	3019238540
Batch 13	Day28	2852584.2	952.8933582	3624278050
Batch 13	Day28	3066262.11	987.938026	4039035915
Batch 13	Day28	3443168.61	1046.897611	4806193324
Batch 17	Day28	4215740.22	1158.409163	6511402801
Batch 17	Day28	3798302.55	1099.5623	5568627052
Batch 17	Day28	3489377.29	1053.899088	4903268726
Batch 17	Day28	3831254.92	1104.321655	5641250365
Batch 17	Day28	3902504.26	1114.542815	5799344112
Batch 17	Day28	2896348.4	960.1751557	3708002368
Batch 17	Day28	4591665.43	1208.955128	7401489954
Batch 17	Day28	3048449.77	985.0643123	4003892102
Batch 17	Day28	4552588.69	1203.799812	7307207213
Batch 17	Day28	6882893.92	1480.166606	13583772974
Batch 18	Day28	3377938.5	1036.933566	4670263751
Batch 18	Day28	3228439.32	1013.727849	4363678465
Batch 18	Day28	3332159.14	1029.883099	4575645840
Batch 18	Day28	3107625.62	994.5792866	4121040096
Batch 18	Day28	3151135.72	1001.517675	4207890825
Batch 18	Day28	3021919.65	980.7685251	3951738238
Batch 18	Day28	4746185	1229.1288	7778230232
Batch 18	Day28	3762082.09	1094.307051	5489163943
Batch 18	Day28	3673143.09	1081.294483	5295665811
Batch 19	Day28	2913608.75	963.0319151	3741197619
